sample_id_1;sample_id_2
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;24
30;8
30;11
30;12
30;13
30;14
30;15
30;16
30;17
30;18
30;19
30;20
31;12
31;13
31;14
31;15
31;16
31;17
31;18
34;1
35;12
35;13
35;14
35;15
35;16
35;17
35;18
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;12
49;13
49;14
49;15
49;16
49;17
49;18
49;36
49;37
49;38
49;39
49;40
49;41
49;42
49;43
49;44
49;45
49;46
49;47
49;48
52;12
52;13
52;14
52;15
52;16
52;17
52;18
53;2
53;6
53;11
53;12
53;13
53;14
53;15
53;16
53;17
53;18
53;20
53;21
53;22
53;23
53;25
53;28
53;29
53;32
53;34
53;36
53;37
53;38
53;39
53;40
53;41
53;42
53;43
53;44
53;45
53;46
53;47
53;48
53;52
54;1
54;2
54;8
54;9
54;11
54;12
54;13
54;14
54;15
54;16
54;17
54;18
54;19
54;20
54;21
54;22
54;23
54;24
54;26
54;27
54;28
54;29
54;30
54;32
54;34
54;36
54;37
54;38
54;39
54;40
54;41
54;42
54;43
54;44
54;45
54;46
54;47
54;48
54;49
54;50
54;51
54;52
55;54
56;30
56;52
57;71
57;72
57;74
58;1
58;31
58;33
58;61
58;62
58;63
58;64
58;65
58;70
59;1
59;31
59;33
59;61
59;62
59;63
59;64
59;65
59;70
61;30
61;31
61;53
61;54
62;30
62;31
62;53
62;54
63;30
63;31
63;52
63;53
63;54
63;67
63;71
64;30
64;31
64;53
64;54
64;67
64;71
65;2
65;6
65;26
65;27
65;36
65;37
65;38
65;39
65;40
65;41
65;42
65;43
65;53
65;54
66;28
67;8
67;12
67;13
67;14
67;15
67;16
67;17
67;18
67;19
67;20
67;21
67;22
67;23
67;24
67;34
67;36
67;37
67;38
67;39
67;40
67;41
67;42
67;43
67;44
67;45
67;46
67;47
67;48
70;30
70;53
71;30
71;31
73;30
73;36
73;37
73;38
73;39
73;40
73;41
73;42
73;43
73;44
73;45
73;46
73;47
73;48
73;53
74;30
74;36
74;37
74;38
74;39
74;40
74;41
74;42
74;43
74;44
74;45
74;46
74;47
74;48
74;52
78;28
79;28
82;65
83;65
84;65
85;7
85;30
85;53
85;58
85;59
85;65
85;67
85;69
85;70
85;73
85;55
85;12
85;13
85;14
85;15
85;16
85;17
85;18
85;28
85;36
85;37
85;38
85;39
85;40
85;41
85;42
85;43
85;61
85;62
85;63
85;64
86;55
86;58
86;65
87;1
87;31
87;33
87;61
87;62
87;63
87;64
87;65
87;70
88;1
88;31
88;33
88;61
88;62
88;63
88;64
88;65
88;70
89;1
89;49
89;53
89;54
89;67
89;73
89;74
143;30
143;49
143;53
143;54
143;65
193;34
202;30
202;49
202;50
202;51
202;53
202;54
202;55
202;65
93;202
204;1
204;30
204;35
204;49
204;53
204;54
205;1
205;30
205;35
205;49
205;53
205;54
206;1
206;30
206;35
206;49
206;53
206;54
207;1
207;53
207;54
208;1
208;4
208;5
208;30
208;31
208;49
208;53
208;54
208;67
209;1
209;4
209;5
209;30
209;34
209;35
209;49
209;53
209;54
209;58
209;59
209;67
210;1
210;30
210;49
210;52
210;53
210;54
210;55
210;60
210;61
210;62
210;63
210;64
210;67
210;72
211;1
211;26
211;27
211;30
211;34
211;44
211;45
211;46
211;47
211;48
211;89
211;49
211;53
211;54
211;143
211;202
212;1
212;49
212;53
212;54
212;208
212;210
212;91
212;143
213;1
213;49
213;53
213;54
213;208
213;210
213;91
213;143
214;1
214;49
214;53
214;54
214;208
214;210
214;91
214;143
214;30
215;1
215;4
215;5
215;11
215;30
215;49
215;53
215;54
215;207
215;208
215;211
215;212
215;55
215;61
215;62
215;63
215;64
215;67
215;143
215;202
215;36
215;37
215;38
215;39
215;40
215;41
215;42
215;43
215;219
215;220
215;221
215;222
215;223
215;224
215;226
215;227
215;228
216;1
216;4
216;5
216;11
216;30
216;49
216;53
216;54
216;207
216;208
216;211
216;212
216;55
216;61
216;62
216;63
216;64
216;67
216;143
216;202
216;36
216;37
216;38
216;39
216;40
216;41
216;42
216;43
216;219
216;220
216;221
216;222
216;223
216;224
216;226
216;227
216;228
217;1
217;4
217;5
217;11
217;30
217;49
217;53
217;54
217;207
217;55
217;61
217;62
217;63
217;64
217;67
217;143
217;202
217;36
217;37
217;38
217;39
217;40
217;41
217;42
217;43
217;224
217;226
218;1
218;53
218;55
218;58
218;59
218;60
218;71
219;1
219;2
219;3
219;4
