sample_id;sample_name;is_playing_SP1;is_playing_SP2;is_playing_SP3;is_playing_SP4;is_playing_SP5;is_playing_SP6;is_playing_SP7;is_playing_SP8
1;INTLD_eule1;false;false;false;false;false;false;false;false
2;INTLD_eule2;false;false;false;false;false;false;false;false
3;krankersynth;false;false;false;false;false;false;false;false
4;whirlpadcut;false;false;false;false;false;false;false;false
5;whirlpad1;false;false;false;false;false;false;false;false
6;whirlpad2;false;false;false;false;false;false;false;false
7;SONIK_crazyflaeche;false;false;false;false;false;false;false;false
8;ORCA_fm8;false;false;false;false;false;false;false;false
9;vibrawusel;false;false;false;false;false;false;false;false
10;spacevocal;false;false;false;false;false;false;false;false
11;keysdelay;false;false;false;false;false;false;false;false
12;CLAIRE_melo1;false;false;false;false;false;false;false;false
13;CLAIRE_melo2;false;false;false;false;false;false;false;false
14;CLAIRE_melo3;false;false;false;false;false;false;false;false
15;CLAIRE_melo4;false;false;false;false;false;false;false;false
16;CLAIRE_melo5;false;false;false;false;false;false;false;false
17;CLAIRE_melo6;false;false;false;false;false;false;false;false
18;CLAIRE_melo7;false;false;false;false;false;false;false;false
19;SEA_carrier;false;false;false;false;false;false;false;false
20;SEA_carrier&melo;false;false;false;false;false;false;false;false
21;SEA_melo&akzent1;false;false;false;false;false;false;false;false
22;SEA_melo&akzent2;false;false;false;false;false;false;false;false
23;SEA_melo;false;false;false;false;false;false;false;false
24;valliflaeche;false;false;false;false;false;false;false;false
25;leuchtturm;false;false;false;false;false;false;false;false
26;atmodream1;false;false;false;false;false;false;false;false
27;atmodream2;false;false;false;false;false;false;false;false
28;atmodream3;false;false;false;false;false;false;false;false
29;DNH2_delayglide;false;false;false;false;false;false;false;false
30;polymelo;false;false;false;false;false;false;false;false
31;BB_dreamkeys;false;false;false;false;false;false;false;false
32;atmosupport;false;false;false;false;false;false;false;false
33;flaecheakzent;false;false;false;false;false;false;false;false
34;DD_carrier;false;false;false;false;false;false;false;false
35;UHG_wandercut;false;false;false;false;false;false;false;false
36;melojump1;false;false;false;false;false;false;false;false
37;melojump2;false;false;false;false;false;false;false;false
38;melojump3;false;false;false;false;false;false;false;false
39;melojump4;false;false;false;false;false;false;false;false
40;melojump5;false;false;false;false;false;false;false;false
41;melojump6;false;false;false;false;false;false;false;false
42;melojump7;false;false;false;false;false;false;false;false
43;melojump8;false;false;false;false;false;false;false;false
44;bassjump1;false;false;false;false;false;false;false;false
45;bassjump2;false;false;false;false;false;false;false;false
46;bassjump3;false;false;false;false;false;false;false;false
47;bassjump4;false;false;false;false;false;false;false;false
48;bassjump5;false;false;false;false;false;false;false;false
49;jumpyrelax;false;false;false;false;false;false;false;false
50;jumpyrelaxcut1;false;false;false;false;false;false;false;false
51;jumpyrelaxcut2;false;false;false;false;false;false;false;false
52;yougotawatercrane;false;false;false;false;false;false;false;false
53;S3PM_walky;false;false;false;false;false;false;false;false
54;padforelbe;false;false;false;false;false;false;false;false
55;INTLD_bass;false;false;false;false;false;false;false;false
56;HUC_busysup;false;false;false;false;false;false;false;false
57;flowbass;false;false;false;false;false;false;false;false
58;SEA_bass1;false;false;false;false;false;false;false;false
59;SEA_bass2;false;false;false;false;false;false;false;false
60;atmosubbass;false;false;false;false;false;false;false;false
61;DD_subdel1;false;false;false;false;false;false;false;false
62;DD_subdel2;false;false;false;false;false;false;false;false
63;DD_subdel3;false;false;false;false;false;false;false;false
64;DD_subdel4;false;false;false;false;false;false;false;false
65;EGBA_smoothbass;false;false;false;false;false;false;false;false
66;pointybass;false;false;false;false;false;false;false;false
67;LRNT_bassfly;false;false;false;false;false;false;false;false
68;bassakzent1;false;false;false;false;false;false;false;false
69;bassakzent2;false;false;false;false;false;false;false;false
70;pupubass;false;false;false;false;false;false;false;false
71;JERTAW_bass;false;false;false;false;false;false;false;false
72;TK_opbass;false;false;false;false;false;false;false;false
73;cavacut;false;false;false;false;false;false;false;false
74;S3PM_kickybass;false;false;false;false;false;false;false;false
